name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Minotaur Cannon,hs_minotaur_cannon,3,0.075,32000,1250,,350,700,5,15,20,,,,ENERGY,400,,0,0.5,1,,0,5,1,10,,1000,,,75,,,"STRIKE, USE_VS_FRIGATES","energy18, he17, kinetic17, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,General,,,,,,,,,,13000
Minotaur Cannon (Built-in),hs_minotaur_builtin,3,1,,1250,,350,700,5,15,,,,,ENERGY,400,,0,0.5,,,0,5,1,10,,1000,,,75,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","energy18, he17, kinetic17, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,General,,,,,,,,,,13001
Sagittarius MRM Pod,hs_sagittarius_mrm,3,0.075,24000,3000,,700,350,10,30,15,3,0.05,3,ENERGY,100,,0,0.25,3,0.125,0,0,0,0,,1500,500,15,150,,,"STRIKE, USE_VS_FRIGATES","strike20, missile20, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,Finisher,Fast,Excellent,,,,,,,,13002
Sagittarius MRM (Single),hs_sagittarius_single,3,0.075,12000,3000,,700,350,10,30,10,1,0.05,1,ENERGY,100,,0,0.25,1,,0,0,0,0,,1500,500,15,150,,,"STRIKE, USE_VS_FRIGATES","strike20, missile20, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,Finisher,Fast,Excellent,,,,,,,,13003
Sagittarius MRM (Built-in Single),hs_sagittarius_builtin,3,1,,3000,,700,350,10,30,,1,0.05,1,ENERGY,100,,0,0.25,1,,0,0,0,0,,1500,500,15,150,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","strike20, missile20, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,Finisher,Fast,Excellent,,,,,,,,13004
Cygnus Autocannon,hs_cygnus_pd,3,0.075,16000,750,,50,25,1,75,10,,,,ENERGY,50,,0,0.125,1,,0,5,1,10,,1750,,,35,,,"PD, ANTI_FTR","pd7, kinetic4, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,Point Defense,,,,,,,,,,13005
Polaris Projector,hs_polaris_projector,3,0.075,48000,1050,700,,700,5,15,20,,,,ENERGY,,800,0,0.5,1,,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,Suppression,,,,,"Projectile fires EMP arcs at nearby enemy targets while traveling. The damage shown is for the EMP arcs, the projectile itself does not deal damage and will pass over ships.",,,,TRUE,13006
Mini Minotaur Cannon,hs_mini_minotaur,3,0.075,16000,850,,175,350,2.5,30,10,,,,ENERGY,200,,0,0.5,1,,0,5,1,10,,2000,,,37.5,,,"STRIKE, USE_VS_FRIGATES","energy18, he17, kinetic17, hightech_bp, rare_bp, HCO_bp",,Hyperion Systems,,General,,,,,,,,,,13007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
